id,intervention,S,I,R
1,baseline,1.7563955866389056,2.1870847018424193,3.2260593685816077
2,baseline,3.8139787937835217,2.326550978976105,1.2651009951326113
3,baseline,3.3416024157806166,2.168843587193923,2.0086677317006805
4,baseline,2.206532537721367,1.5975968151459816,3.3114900494265993
5,baseline,3.462951061559746,2.7879289615138356,2.774186603850602
6,baseline,0.8476988481600025,1.2754630663930233,0.6548167108262526
7,baseline,2.6836640056396854,2.961547252097895,1.8023712924395923
8,baseline,2.1508039895921507,1.6053033021129912,1.2667311292290764
9,baseline,3.4957122819707998,1.8821984745396465,2.914794591584247
10,baseline,2.9990585036831554,1.005885412419028,0.8442905997265095
