id,intervention,S,I,R
1,baseline,0.437825792840014,2.1760127237950555,2.3517215051507856
2,baseline,2.148042005950218,2.706845706165508,1.4614648604894598
3,baseline,1.8827995614809678,1.5232237418809333,1.1630337008954852
4,baseline,3.4095449336542663,1.7897843796170285,3.549703499313951
5,baseline,0.957878179419897,1.1768338492646944,2.5780496933950476
6,baseline,0.7923982236006459,2.3049645955710893,2.3041349341264676
7,baseline,1.641094271997327,2.7669143217520844,1.285738969185923
8,baseline,0.46168227715994115,0.2947912180708241,-0.23038339131780328
9,baseline,2.4458843558149557,1.5699396571707975,3.016156351959081
10,baseline,2.802261415406197,1.833728352230231,2.4531930721335193
